timestamp,source,log_message,target_label
2025-11-09 22:47:00,ModernCRM,Unauthorized login attempt on protected account Account5486,Security Alert
2025-06-26 02:46:29,AnalyticsEngine,"nova.compute.claims [req-2d658d2c-7eff-414e-a68f-3f1c75c9e874 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total disk: 15 GB, used: 0.00 GB",Resource Usage
2025-02-28 23:13:12,ModernCRM,"nova.osapi_compute.wsgi.server [req-7b894c1d-bfc0-4dca-afed-0b8ca7a93a72 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2758210",HTTP Status
2025-03-28 21:45:49,ModernCRM,"nova.osapi_compute.wsgi.server [req-e4a5ec58-0304-4e5e-930c-57180ee7c1dd 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2686100",HTTP Status
2025-01-27 06:37:03,ModernCRM,"nova.osapi_compute.wsgi.server [req-085df2be-ea00-4a37-b91a-1a9e1213782d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2659712",HTTP Status
2025-05-23 22:33:17,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-aa55b411-2ba0-4b61-9fd9-26d40aeb9423 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2682309",HTTP Status
2025-06-08 17:41:00,ModernHR,API intrusion detection system flagged user 6771,Security Alert
2025-06-16 19:55:51,BillingSystem,"nova.osapi_compute.wsgi.server [req-be61f06f-fcee-49d3-9438-719cedca6e55 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4461639",HTTP Status
2025-11-10 12:04:16,ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-3bb31561-435a-48b5-806e-5ef157eab7d6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2627311",HTTP Status
2025-06-27 12:54:39,BillingSystem,"nova.compute.claims [req-1162e278-3bf2-4b32-93b5-9c7ec218365e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: fecdd5a9-3ca0-4c82-9336-63b7774f738e] Total vcpu: 16 VCPU, used: 0.00 VCPU",Resource Usage
2025-09-08 20:25:00,ThirdPartyAPI,System component failure occurred: component ID Component78,Critical Error
2025-07-01 10:52:13,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-88946337-1b76-4bc9-b24f-586f5a78abe2 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2740719",HTTP Status
2025-12-11 05:37:03,ModernCRM,"nova.osapi_compute.wsgi.server [req-b2aa258b-dbc8-4979-8029-ca24828e3c80 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2596920",HTTP Status
9/28/2025 3:18,BillingSystem,User 2367 failed to provide valid API access credentials,Security Alert
12/22/2025 10:40,ThirdPartyAPI,System component malfunction: component ID Component90,Critical Error
9/22/2025 17:28,ThirdPartyAPI,User 1587 experienced multiple login rejections,Security Alert
2025-10-06 07:03:59,AnalyticsEngine,"nova.metadata.wsgi.server [-] 10.11.21.136,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" Status code -  200 len: 967 time: 0.0009689",HTTP Status
2025-06-10 04:04:13,ModernHR,"nova.osapi_compute.wsgi.server [req-40d207ea-99bc-47cd-b37b-d2bb7e7e030c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2665081",HTTP Status
4/19/2025 16:16,AnalyticsEngine,API access denied due to unauthorized credentials for user 7900,Security Alert
2025-08-04 07:20:00,ModernHR,Error replicating data to shard 1,Error
12/27/2025 11:59,BillingSystem,Module X experienced a format validation error,Error
2025-04-09 18:59:00,AnalyticsEngine,"Server 27 experienced potential security incident, review required",Security Alert
2025-12-17 08:36:12,AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-5fba3209-52f5-4586-822a-2ecea551f621 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1759 time: 0.2835598",HTTP Status
